Word,Meaning,Part of Speech,Examples Sentence, Synonym,Topic,To Indonesian
Civilization,<The stage of human social and cutural development> and organization that is considered most advanced.,Noun,They equated the railroad with progress and <civilization>.,human development-or- advancement-or- progress-or- culture,Community,Peradaban-or- Kebudayaan
Appropriate,"<Suitable or proper> in the circumstances.
Take (something) for one's own use-or- typically without the owner's permission.
Devote (money or assets) t a special purpose.",Adjective-or- Verb,"A measure <appropriate> to a wartime economy.
His images have been <appropriated> by advertisers.
There can be problems in <appropriating> funds for legal expenses.",suitable-or- proper-or- relevant-or- apt-or- connected-or- approsite,Community,Sesuai-or- Tepat-or- Cocok
Engage,"Occupy-or- <attract-or- or involve (someone's interest or attention)>.
Organizations engage in a variety of activities.
(of a writer-or- artist-or- or their works) morally commited to a particular aim or cause.",Verb-or- Adjective,"The teams needed to <engage> with local communities.
They attempted to <engage> Anthony in conversation.
Organizations <engage> in a variety of activities",capture-or- catch-or- arrest-or- grab-or- employ,Community,Mengikutsetakan-or- Mengajak-or- Ikut Serta
Charitable,"Relating to the <assistance of those in need>.
Apt to judge others leniently or favorably.",Adjective,"<Charitable> works such as care of the sick.
Those who were les <charitable> called for his resignation.",humane-or- benevolent-or- beneficent-or- generous-or- liberal,Community,Social-or- Dermawan-or- Murah Hati
Enormous,<Very large> in size-or- quantity-or- or extent.,Adjecticve,The possibilities are <enormous>.,huge-or- vast-or- extensive-or- wide-or- gigantic-or- very big,Travel & Places,Sangat Besar
Owing,Have an <obligation to pay> or repay (something-or- especially money) in return for something received.,Verb,They have denied they <owe> money to the company,be in debt (to)-or- be in debit-or- be overdrawn (by),Travel & Places,Yang berhutang-or- Terhutang
pilling,(of knitted fabric) <form small balls> of fluff on its surface.,Verb,Synthtics can <pill> but otherwise wear fairly well.,,Travel & Places,Menggelembungkan-or- Memberikan pil
Chamber,"A <large room> used for formal or public events.
A private room-or- especially a bedroom.
Place (a bullet) into the chamber of a gun.",Noun-or- Verb,"A council <chamber>.
He had his meals brought to his <chamber>.
He <chambered> a fresh cartridge.",room-or- hall-or- auditorium-or- bedroom,Travel & Places,Ruang-or- Kamar-or- Ruangan
Inscribe,"<write> or carve (words or symbols) on something-or- especially as a formal or permanent record.
Draw (a figure) within another so that their boundaries touch but do not intersect.",Verb,"His name was <insribed> on the new silver trophy.
A regular polygon <inscribed> in a circle.",carve-or- write-or- angrave-or- cut,Travel & Places,Menuliskan
Predecessors,A person who <held a job or office before> the current holder.,Noun,His approach is very similar to that of his <predecessor>.,former/previous holder of the post-or- forerunner-or- antecedent,Travel & Places,Pendahulu-or- Leluhur
Intricate,Very <complicated> or detailed.,Adjective,An <intricate> network of canals.,complex-or- complicated-or- tangled-or- raveled-or- twisted,Travel & Places,Rumit
Dispute,"A <disagreement>-or- argument-or- or debate.
Argue about (something); discuss heatedly.
Compete for; strive to win.",Noun-or- Verb,A territorial <dispute> between the two countries.,debate-or- discussion-or- argument,Business,Perselisihan-or- Percekcokan
Cope,"(of a person) deal effectively with something difficult.
(in building) <cover (a joint or structure) with a coping>.
A long-or- loose cloak worn bu a priest or bishop on ceremonial occasions.",Verb-or- Noun,"His ability to <cope> with stress.
A high wall <coped> with tiles.",manage-or- survive-or- subtist-or- look after oneself-or- carry on-or- bear up,Business,Menaungi-or- Melindungi-or- Naungan
Incentivize,provide (someone) with an <incentive for doing something>.,Verb,This is likely to <incentivize> management to find savings.,,Business,Memberi Insentif
Glare,"<Stare in an angry> or fierce way.
(of the sun or an electric light) shine with a strong or dazzling light.",Verb,"She <glared> at him-or- her cheeks flushing.
The sun <glared> out of a clear blue sky.",scowl-or- glower-or- frown-or- lour-or- glout,Business,Silau-or- Kerlap-or- Cahaya yang Menyilaukan
Remuneration,<money paid for work> or a service.,Noun,They work in excess of their contracted hours for no additional <remuneration>.,payment-or- pay-or- salary-or- wages,Business,Pemberian Upah
Foster,"ancourage or promote the development of (something-or- typicall something regarded as good).
<Bring up (a child that is not one's own by birth)>.
Denoting someone that has a specified family connection through fostering rather than birth.",Verb-or- Noun,"The teacher's task is to <foster> learning.
A person who would <foster> Holly was found.",encourage-or- promote-or- further-or- stimulate-or- advance-or- enrich,Community,Mengasah-or- Membantu Perkembangan-or- Memelihara
Profound,"(of a state-or- quality-or- or emotion) <very great or intense>.
(of a person or statement) having or showing great knowledge or insight.",Adjective,"Nor billowy surge disturbs the vast <profound>.
<Profound> social changes.
He opened the door with a <profound> bow.
<Profound> feelings of disquit.",heartfelt-or- intense-or- keen-or- earnest-or- deep,Study,Menonjol-or- Mendalam-or- Besar-or- Dalam
Methodical,Done according to a <systematic or established> form of procedure.,Adjective,"A <methodical> approach to the evaluation of computer systems.
She was so <methodical>-or- she kept everything documented.",orderly-or- well ordered-or- planned-or- efficient-or- coherent,Study,Metodis
Gullible,<Easily persuaded> to believe something; credulous.,Adjective,An attempt to persuade a <gullible> public to spend their money.,credulous-or- over-trusting-or- trustful-or- exploitable-or- dupable,Advertising,Mudah Tertipu-or- Ditipu
Prominent,"Important;famous.
<Projecting from something>; protuberant.
Situated so as to catch the attention; noticeable.",Adjective,"She was a <prominent> member of the city council.
A man with big-or- <prominent> eyes like a lobster's.
The new housing developments are <prominent> landmarks.",important-or- well known-or- leading-or- eminent-or- noted-or- public,Advertising,Menonjol-or- Terkemuka-or- Penting
Incorporate,"Take in or contain <(something) as part of a whole>; include.
Constitue (a company-or- city-or- or other organization) as a legal corporation.
Another term for incorporated.",Verb-or- Adjective,"He has <incorporated> in his proposals a large number f measures.
Limited liability companies could only be <incorporated> under the 1930 Act.",subsume-or- take in-or- consolidate-or- embody-or- include-or- absorb,Advertising,Menggabungkan-or- Memasukkan-or- Bergabung-or- Mempersatukan
Entise,<Attract or tempt> by offering pleasure or advance.,Verb,"A show that should <entice> a new audience into the theater. 
The treat is offered to <entice> the dog to eat.",tempt-or- allure-or- lure-or- attract-or- appeal to-or- invite-or- wheedle,Advertising,Menarik-or- Memikat-or- Membujuk-or- Mengajak
Bombard,"<Attack (a place or person) continuously> with bombs-or- shells-or- or other missiles.
A cannon of the earliest type-or- which originall fired a stone ball.",Verb-or- Noun,The city was <bombarded> by federal forces.,shell-or- torpedo-or- assault-or- raid-or- blast-or- bomb,Advertising,Memborbardir-or- Menyerang
Inescapable,<Unable to be avoided> or denied.,Adjective,"Political reform was <inescapable>.
They came to the <inescapable> conclusion that he was responsible.",unavoidable-or- certain-or- ineluctable-or- mandatory-or- compulsory,Advertising,Tak terelakkan-or- Mutlak
Wander,"<Walk> or move in a leisurely-or- casual-or- or aimless way.
An act or instance of wandering.",Verb-or- Noun,"He <wandered> aimlessly through the narrow streets.
She'd go on <wanders> like that in her nightgown.",walk-or- dawdle-or- mooch-or- bimble-or- trek,Travel & Places,Mengembara-or- Berkelana-or- Menyimpang-or- Hanyut
Unspoiled,<Not spoiled>-or- in particular (of a place) not marred by development.,Adjective,<Unspoiled> countryside.,uninpaired-or- preserved-or- intact-or- virgin-or- undamaged,Travel & Places,Murni
Wilderness,An <uncultivated-or- uninhabited>-or- and inhospitable region.,Noun,"The man who led the Green Party out of the <wilderness>.
His <wilderness> years.
The garden had become a <wilderness> of weeds and bushes.",wilds-or- wastes-or- jungle-or- desert-or- bundu,Travel & Places,Gurun-or- Hutan Belantara
Paradise,"(in some religions) <heaven> as the ultimate abode of the just.
An ideal or idyllic place or state.",Noun,"Martyrs who die in battle with the ungodly earn instant transmission to <paradise>.
The surrounding countryside is a walker's <paradise>.",heaven-or- the kingdom of heaven-or- Zion,Travel & Places,Surga-or- Firdaus
Leisurely,"Acting or done at leisure; <unhurried or relaxed>.
Without hurry.",Adjective-or- Adverbia,A <leisurely> breakfast at our hotel.,unhurried-or- relaxed-or- unrushed-or- easy-or- gentle,Travel & Places,Tidak Tergesa gesa-or- dengan Santai
Rival,"A person or thing <competing with another> for the same objective or for superiority in the same field of activity.
Be or seem to be equa or comparable to.",Noun-or- Verb,"He has no serious <rival> for the job.
He was a photographer whose fame <rivaled> that of his subjects.",competitor-or- opponent-or- contestant-or- enemy,Travel & Places,Menyaingi-or- Menandingi-or- Menyamai-or- Saingan
Foreign,"of-or- from-or- in-or- or charasteristic of a country or language other than one's own.
<Strange and unfamiliar>.",Adjective,"A <foreign> language.
I suppose this all feels pretty <foreign> to you.",overseas-or- distant-or- remote-or- far off-or- unknown-or- unfamiliar,Travel & Places,Asing-or- Luar Negeri
Consensus,<A general agrement.>,Noun,A <consensus> view.,agreement-or- harmony-or- accord-or- unity-or- oneness,Government,Konsensus
Instill,"Gradually but firmly establish (an idea or <attitude-or- especially a desirable one>) in a person's mind.
Put (a substance) into something in the form of liquid drops.",Verb,"How do we <instill> a sense of rightness in today's youth?.
She was told how to <instill> eye drops.",inculcate-or- implant-or- fix-or- infuse-or- impress-or- imprint-or- introduce,Government,Menanamkan-or- Menanam-or- Memengaruhi Pelan-pelan
Expenditure,The action of <spending funds>.,Noun,The <expenditure> of taxpayers' money.,spending-or- paying out-or- outlay-or- doling out-or- waste,Government,Pengeluaran-or- Belanja
Authority,"The power or right to give orders-or- <make decisions-or- and enforce obedience>.
A person or organization having power or control in a particular-or- typically political or administrative-or- sphere.
The power to influence others-or- especially because of one's commanding manner or one's recognized knowledge about something.",Noun,"He had absolute <authority> over his subordinates.
The health <authorities>.
He has the natural <authority> of one who is used to being obeyed.",power-or- command -or- control-or- charge-or- domination-or- hold,Government,Kewenangan-or- Wewenang-or- Kekuasaan
Bureaucracy,A <system of government> in which most of the important decisions are made by state officals rather than by elected reresentatives.,Noun,The unnecessary <bureaucracy> in local government.,civil service-or- administration-or- government-or- directorate,Government,Birokrasi-or- Cara Kerja yang Lambat Penuh Aturan
Coexist,<Exist at the same time or in the same place.>,Verb,Traditional and modern values <coexist> in Africa.,,Animals,Hidup Bersama-or- Berdampingan dengan
Captivity,The condition of< being imprisoned or confined>.,Noun,He was released after 865 days in <captivity>.,imprisonment-or- confinement-or- internment-or- arrest-or- slavery,Animals,Tahanan-or- Penahanan-or- Tawanan Kurungan
Annihilate,Destroy uttrly; <obliterate>,Verb,"A simple bomb of this type could <annihilate> them all.
A crusade to <annihilate> evil.",destroy-or- wipe out-or- obliterate-or- eliminate,Science,Membinasakan-or- Menghancurkan-or- Menghapuskan
Cruelty,Callous indifference to or pleasure in <causing pain and suffering>.,Noun,"He has treated her with extreme <cruelty>.
She divorced my stepfather for persistent <cruelty>.
We can't stand <cruelty> t animals.",brutality-or- savagery-or- inhumanity-or- barbarism-or- ferocity-or- sadism,Animals,Kekejaman-or- Kebengisan
Sanctuary,"A <place> of refugeor <safety>.
A <nature reserve>.
A holy place; a temple or church.",Noun,"His sons took <sanctuary> in the church.
A bird <sanctuary>.
The <sanctuaries> of Apollo and Athena.",refuge-or- haven-or- harbor-or- hiding place-or- safe house,Animals,Suaka-or- Tempat Perlindungan-or- Tempat Suci
Misuse,"Use (something) in the <wrong way> or for the wrong purpose.
The wrong or improper use of something.",Verb-or- Noun,"He was found guilty of <misusing> public funds.
Drugs of such potency that their <misuse> can have dire consequences.",misapply-or- exploit-or- waste-or- dissipate,Space,Penyalahgunaan-or- Menyalahgunakan
Hollow,"Having a hole or <empty space inside>.
A hole or depression in something.
A tunnel was hollowed out in a mountain range.",Adjective-or- Noun-or- Verb,"Each fiber has a <hollow> core.
A <hollow> at the base of a large tree.
A tunnel was <hollowed> out in a mountain range.",empty-or- not solid-or- void-or- trough-or- cave,Space,Berongga-or- Berlubang-or- Hampa-or- Kosong
Prolonged,Continuing for a <long time or longer than usual>; lengthy.,Adjective,The region suffered a <prolonged> drought.,,Space,Berkepanjangan-or- Menahun-or- yang Berlangsung Lama
Fragile,(of an object) <easily broken> or damaged.,Adjective,"<Fragile> items such as glass and china.
You have a <fragile> grip on reality.
A small-or- <fragile> old lady.",breakable-or- eaily broken-or- brittle-or- frangible-or- smashable,Space,Rapuh-or- Pecah Belah-or- Gampang Pecah
Transmit,Cause (something) to pass on <from one place or person to another>.,Verb,"Knowledge is <transmitted> from teacher to student.
The theatrical gift of being able to <transmit> emotion.",carry-or- pass on-or- hand on-or- impart,Space,Mengirimkan-or- Menularkan-or- Menyebarkan
Appliances,A device or piece of <equipment designed to perform> a specific task-or- typically a domestic one.,Noun,Electrical and gas <appliances>.,device-or- machine-or- instrument-or- gadget-or- contraption-or- utensil,Technology & Computer,Alat
Surpass,Exceed; <be greater than>.,Verb,Prewar levels of production were <surpassed> in 1929.,excel-or- be better than-or- be superior to-or- transcend,Technology & Computer,Melampui-or- Mengungguli-or- Melebihi
Computerized,(of a system-or- device-or- etc.) adapted so as to be <operated by computer>.,Adjective,The advantages of <computerized> accounting.,,Technology & Computer,Yang Dikomputerkan
Carnage,The <killing> of a <large number of people>.,Noun,The bombing was timed to caus as much <carnage> as possible,slaughter-or- massacre-or- mass murder-or- butchery-or- holocaust,People,Pembantaian-or- Pembunuhan Massal
Unprecedented,<Never done> or known before.,Adjective,The emphasis has been on shaping bold solutions to save lives and livelihoods in these <unprecedented> times.,unparalleled-or- unequealed-or- unmatched-or- uncommon,Community,Belum Pernah Terjadi Sebelumnya-or- 
Pale,"Light in  color or <having little color>.
Become pale in one's face from shock or fear.",Adjective-or- Verb,"Choose <pale> floral pattern for walls.
I <paled> at the thought of what she migh say.
Unconvincing rock that came across as a <pale> imitation of Bruce Springsteen.",light-or- light-colored-or- pastel-or- neutral-or- muted-or- soft,People,Pucat-or- Muda-or- Pudar-or- Batas-or- Patokan
Suffocated,Feeling <trapped> and <oppressed>.,Adjective,I feel so <suffocated> in this town.,,Environment,Mati Lemas-or- Tercekik
Unconscious,"Not conscious.
The part of the mind which is <inaccessible to the conscious mind> but which affects behavior and emotions.",Adjective-or- Noun,"The boy was beaten <unconscous>.
Horrific apparitions surfaced out of the recesses of his <unconscious>.",knocked out-or- insensible-or- senseless-or- dazed-or- torpid-or- numb,People,Tidak Sadar-or- Bawah Sadar-or- Pingsan
Ingenious,(of a person) <clever>-or- original-or- and inventive.,Adjective,He was <ingenious> enough to overcome the limited budget.,inventive-or- creative-or- imaginative-or- innovative-or- clever-or- smart-or- brilliant,People,Berbakat-or- Terampil-or- Pandai
Emerge,Move out of or away from something and <come into view>.,Verb,Black ravens <emerged> from the fog.,come out-or- appear-or- come into view-or- crop up-or- pop up,Fashion,Muncul-or- Timbul-or- Tampil
Disposable,"(of an article) intended to be <used once>-or- or until no longer useful-or- and then thrown away.
(chiefly of financial assets) readily available for the owner's use as required.
An article designed to be thrown away after use.",Adjective-or- Noun,"<Disposale> diapers.
He made a mental inventory of his <disposable> assets.
Don't buy <disposables>-or- such as razors-or- cups-or- and plates.",throwaway-or- expendable-or- one-use-or- replaceable-or- paper,Fashion,Sekali Pakai-or- yang Dapat Dibuang
Second-hand,"(of goods) having <had a previous owner>; not new.
(of information or experience) accepted on another's authority and not from original investigation.
On the basis that something has had a previous owner.
On the basis of what others have said; indirectly.",Adjectie-or- Adverbia,"A <secondhand> car.
<Secondhand> knowledge of her country.
Tips on the pitfalls to avoid when buying <secondhand>.
I was discounting anything I heard <secondhand>.",used-or- old-or- worn-or- pre-owned-or- castoff-or- indirect,Fashion,Bekas
Possessions,"The state of <having-or- owning-or- or controlling something>.
An item of property; something belonging to one.
The state of being controlled by a demon or spirit.",Noun,"He had taken <possession> of one of the sofas.
I was alone with no money or <possessions>.
They prayed for protection against demonic <possession>.",ownership-or- hold-or- title-or- control-or- hnds-or- keeping-or- care,Fashion,Milik-or- Kepunyaan
Impulse,"A sudden strong and unreflective urge or desire to act.
A <driving or motivating force; an impetus>.
A pulse of electrical energy; a brief current.
A force acting briefly on a body and producing a finite change of momentum.",Noun,"I had an almost irresistible <impulse> to giggle.
An added <impulse> to this process of renewal.
Nerve <impulses>.",urge-or- instinct-or- drive-or- compulsion-or-need,Fashion,Impuls-or- dorongan-or- gerak hati
Overwhelmed,<Bury or drown> beneath a huge mass,Verb,The water flowed through to <overwhelm> the whole dam and the village beneath,swamp-or- submerge-or- engulf-or- bury-or- flood-or- sature,CIty,Kewalahan-or- Kebanjiran
Shortage,A state or situation in which <something needed> cannot be obtained in sufficient amounts.,Noun,A <shortage> of hard cash.,scarcity-or- dearth-or- poverty-or- want-or- lack-or- inadequancy-or-shortfall,CIty,Kekuarangan
Affluent,"(especially of a group or area) having a <great deal of money; wealthy>.
(of water) flowing freely or in great quantity.
",Adjective,The <affluent> societies of the western world.,wealthy-or- rich-or- opulrent-or- well off-or- moneyed-or- in clover,CIty,Makmur-or- Kaya-or- Limpah-or- Subur
Deprived,suffering a severe and <damaging lack of basic material> and cultural benefits.,Adjective,"The charity cares for destitute and <deprived> children.
I was so slep <deprived> I was bumping into walls.",disadvantaged-or- needy-or- in need-or- in want-or- badly off-or- depressed,CIty,Mencabut-or- Menghilangkan-or- Dirampas
Congested,"(of a road or place) so <crowed with traffic> or people as to hinder freedom of movement.
(of a part of the body) abnormall full of blood.",Adjective,"One of the most <congested> airports in the world.
<Congested> arteries.",crowded-or- overcrowded-or- full-or- choked-or- blocked (up)-or- jammed,CIty,Padat
Masquerading,Peretend <to be someone> one is not.,Verb,A journalist <masquerading> as a man in distress.,pretend to be-or- pose as-or- simulate,Animals,Menyamar-or- Berlaku-or- Bermain
Shackles,"A pair of fetters <connected together by a chain>-or- used to fasten a prisoner's wrists or ankles together.
A metal link-or- typically U-shaped-or- closed by a bolt-or- used to secure a chain or rope to something.
Chain with shackles.",Noun-or- Verb,The prisoner was <shackled> to the heavy steel chair in the center of the room.,chains-or- fettersm irons-or- leg irons-or- manacles-or- bonds-or- ropes,Government,Belenggu-or- Membelenggu
Sealed,"<Fasten or close securely>.
Apply a nonporous coating to (a surface) to make it <impervious>.
Fry (food) briefly in hot fat to prevent it from losing too much of its moisture during subsequent cooking.
Conclude-or- establish-or- or secure (something) definitively-or- excluding the possibility of reversal or loss.
Fix a piece of wax or lead stamped with a design to (a document) to authenticate it.",Verb,"He folded it-or- <sealed> the envelope-or- and walked to the mailbox.
To <seal> the deal he offered thornton a place on the board of the nascent company.
Heat the oil and <seal> the lamb on both sides.
<Seal> the fhinish with a satin varnish.",fasten-or- secure shut-or- close up-or- lock,Environment,Menutupi-or- Merahasiakan
Forsaken,<Abandoned or deserted>.,Adjective,A journey into forgotten and <forsaken> places.,,Environment,Yang Ditinggalkan
Swayed,Move or cause to <move slowly> or rhythmically backward and forward or from side to side.,Verb,He <swayed> slightly on his feet.,swing-or- shake-or- rock-or- keel-or- roll-or- vacillate-or- alternate,Environment,Tergoyang
Devastated,<Destroy> or ruin (something).,Verb,The city was <devastated> by a huge earthquake.,destroy-or- ruin-or- leave in ruins-or- wreck,Environment,Menghancurkan-or- Merusak-or- Membinasakan
Sanitation,Conditions relating to public health-or- especially the provision of <clean drinking water and adequate sewage disposal>.,Noun,They could afford to erect new dwellings with a reasonable standar of construction and <sanitation>.,,City,Kebersihan
Poverty,The state of being <extremely poor>.,Noun,Thousands of families are living in abject <poverty>.,penury-or- destitution-or- need-or- want-or- bankruptcy,City,Kemiskinan-or- Kemelaratan
Amenities,A desirable or useful <feature or facility> of a building or place.,Noun,Heating is regarded as a basic <amenity>.,facility-or- service-or- convenience-or- resource-or- utility,City,fasilitas-or- kenyamanan-or- kesenangan-or- kenikmatan
Pollutant,A substance that <pollutes something>-or- especially water or the atmosphere.,Noun,<Pollutant> gases.,,Environment,Polutan-or- bahan pengotor
Vegetation,"The <chalk cliffs are mainly sheer> with little vegetation.
The action or process of vegetating.",Noun,The chalk cliffs are mainly sheer with little <vegetation>.,plants-or- plant life-or- flora-or- foliage,Environment,Penumbuhan-or- Vegetasi-or- Tumbuh-tumbuhan
Intervene,"<Come between so as to prevent> or alter a result or course of events.
Extend or occur between events.",Verb,"He acted outside his authority when he <intervened> in the dispute.
Seizuzres typically recur at regular intervals-or- with weeks or months <intervening> between seizures.",intercede-or- cut in-or- arbitrate-or- concillate-or- negotiate-or- intrude,Environment,Campur Tangan
Hazard,"A <danger> or <risk>.
Chance; probability.
Venture to say (something).
Put (something) at risk of being lost.",Noun-or- Verb,"The <hazards> of smoking-or- 
He <hazarded> a guess.
The cargo business is too risky to <hazard> money on.",danger-or- risk-or- peril-or- threat-or- difficulty-or- advance,Environment,Bahaya-or- Risiko-or- Membahayakan
Degrade,"Treat or <regard (someone) with contempt or disrespect>.
Break down or deteriorate chemically.",Verb,"She thought that many supposedly erotic pictures <degraded> women.
The bacteria will <degrade> hydrocarbons.",demean-or- devalue-or- used-or- dishonor-or- humble-or- brutalize,Environment,Menurunkan-or- Merendahkan-or- Menghinakan
Deforestation,The action of <clearing a wide area of trees>.,Noun,A key aim is to try to halt widespread <deforestation> in the Amazon.,,Environment,Menggundulkan Hutan-or- Deforestasi
Abundant,Existing or available in <large quantities>; plentiful.,Adjective,There was <abundant> evidence to support the theory.,plentiful-or- copious-or- ample-or- profuse-or- rich,Energy,Melimpah
Scarce,(especially of food-or- money-or- or some other resource) <insufficient for the demand>.,Adjective,"As raw materials became <scarce>-or- synthetics were developed.
The freshwater shrimp becomes <scarce> in soft water.
A babe <scarce> two years old.",short-or- scanty-or- meager-or- sparse-or- deficient thin-or- paltry,Energy,Langka-or- Jarang-or- Mahal
Unsustainable,<Not able to be maintained> at the current rate or level.,Adjective,"<Unsustainable> fishing practices.
Macroeconomic instability led to an <unsustainable> boom.
The old idea was <unsustainable>.",,Energy,Tidak Berkelanjutan
Squander,<Waste> (something-or- especially money or time) in a reckless and foolish manner.,Verb,Entrepreneurs <squander> their profits on expensive cars.,waste-or- misspend-or- misuse-or- dissipate-or- lavish-or- lose-or- run through,Energy,Mengebara-or- Memboroskan-or- Melindangkan
Finite,"<Having limits> or bounds.
(of a verb form) having a specific tense-or- number-or- and person.",Adjective,Every computer has a <finite> amount of memory.,limited-or- not infinite-or- fixed-or- bounded-or- terminable-or- demarcated.,Energy,Terbatas
Intercede,<Intervene on behalf> of another.,Verb,I begged him to <intercede> for Theresa-or- but he never did a thing.,mediate-or- act-or- take action-or- conciliate-or- step in-or- interpose,Community,Menengahi-or-  Menjadi Perantara
Jingle,"A <light ringing sound> such as that made by <metal objects> being shaken together.
A short slogan-or- verse-or- or tune designed to be easily remembered-or- especially as used in advertising.
Make or cause to make a light metallic ringing sound.",Noun-or- Verb,"The <jingle> of a bridle.
He makes up advertising <jingles>.
Her bracelets were <jingling>.",clink-or- tinkle-or- jangle-or- rattle-or- ring,Advertising,Gemerincing-or- Bunyi-or- Suara Besi
Equity,"The <quality of being fair and impartial>.
The value of the shares isued by a company.
The value of a mortgaged property after deduction of charges against it.
(in the US-or- UK-or- and several other countries) a trade union to which most professional actors belong.",Noun,"<Equity> of treatment.
He owns 62% of the group's <equity>.
People who have built up a significant amount of <equity> in their homes.",fairness-or- justness-or- justice-or- integrity-or- honesty,Business,Keadilan-or- Kewajaran
Outsourcing,Obtain (good or a service) from an <outside or foreign supplier>-or- especially in <place of an interanal source>.,Verb,<Outsourcing> components from other countries.,,Business,Pengalihdayaan
Funeral,The <ceremonies honoring a dead person>-or- typically involving burial or cremation.,Noun,In the afternoon-or- he'd attended a <funeral>.,interment-or- vigil-or- entombment-or- committal,Business,Pemakaman-or- Penguburan
Valve,A device for controlling the passage of <fluid or air through a pipe>-or- duct-or- etc.-or- especially an automatic device allowing movement in one dircection only.,Noun,A <valve> shuts off the flow from the boiler when the water is hot enough.,,Health & Fitness,Katup-or- Klep-or- 
Encounter,"<Unexpectedly> experience or <be faced with> (something difficult or hostile).
An unexpected or casual meeting with someone or something.",Verb-or- Noun,"We have <encountered> one small problem.
She felt totally unnerved by the <encountered>.",face-or- confront-or- run into-or- come across-or- meeting-or- contact,Community,Pertemuan-or- Perjumpaan-or- Menghadapi-or- Mengalami
Distorted,"Pulled or <twisted out of shape>; contorted.
Giving a misleading or false account or impression; misrepresented.
Affected by electrical distortion.",Adjective,"His report gives a <distorted> view of the meeting.
<Distorted> guitars.",,Energy,Terdistorsi-or- Piuh-or- yang Berubah
Foresight,The <ability to predict or the action> of predicting what will happen or be needed in the future.,Noun,He had the <foresight> to check that his escape route was clear.,forethought-or- anticipation-or- planning-or- vision-or- care-or- provision,People,Tinjauan Masa Depan
Perhaps,Used to <express uncertainty> or possibility.,Adverbia,<Perhaps> I should have been frank with him.,maybe-or- for all I know-or- happen-or- it is possible (that)-or- perchance,Business,Mungkin-or- Barangkali
Steady,"Firmly fixed-or- supported-or- or <balanced; not shaking or moving>.
Make or become steady.",Adjective-or- Verb,The lighter the camera-or- the harder it is to hold <steady>,stable-or- balanced-or- fixed-or- secure-or- unmoving,Animals,Menenangkan-or- Memegang
Hostile,<Unfriendly; antagonistic>.,Adjective,A <hostile> audience.,antagonistic-or- truculent-or- malicious-or- angry-or- militant,Government,Bermusuhan-or- Berseteru
Heritage,"Property that is or may be <inherited>; an <inheritance>.
A special or individual possession; an alloted portion.",Noun,They had stolen his greandfather's <heritage>.,inheritance-or- birthright-or- patrimony-or- legacy-or- estate,Culture-or- Arts-or- and Diversity,Warisan-or- Peninggalan-or- Pusaka
Inclusion,"The <action or state> of including or of being included <within a group or structure>.
The practice or policy of providing equal access to opportunities and resources for people who might otherwise be excluded or marginalized-or- such as those who have physical or intellectual disabilities and members of other minority groups.",Noun,"Federal legislation now mandates the <inclusion> of students who are English language learners.
We value and promote diversity and <inclusion> in every aspect of our business.",inforporation-or- addition-or- introduction-or- involvement,Culture-or- Arts-or- and Diversity,Penyertaan-or- Pencantuman-or- Pemasukan
Prejudice,"<Preconceived opinion> that is not based on <reason or actual experience>.
Harm or injury that results or may result from some action or judgment.
Give rise to prejudice in (someone); make biased.",Noun-or- Verb,"<Prejudice> against people from different backgrounds.
<Prejudice> resulting from delay in the institution of the proceedings.
The statement might <prejudice> the jury.",preconception-or- prejudgment-or- disadvantage-or- sway-or- bias-or- warp,Culture-or- Arts-or- and Diversity,Prasangka-or- Kecurigaan-or- Purbasangka
Indigenous,"<Originating or occuring naturally> in a particular <place>; native.
(of people) inhabiting or existing in a land from the earliest times or from before the arrival of colonists.",Adjective,"Coriander is <indigenous> to southern Europe.
She wants the territorial government to speak with <Indigenous> people before implementing a program.",native-or- original-or- earliest-or- first-or- primeval,Culture-or- Arts-or- and Diversity,Asli-or- Pribumi
Ethnocentrism,Evaluation of other <cultures according to preconceptions> originating in the standards and customs of one's own culture.,Noun,,,Culture-or- Arts-or- and Diversity,Sukuisme
Occasion,"A <particular time> or instane of an event.
reason; cause.
cause (something).",Noun-or- Verb,"On one <occasion> I stayed up until two in the morning.
It's the first time that I've had <occasion> to complain.
Something vital must have <occasioned> this visit.",instance-or- point-or- reason-or- motive-or- need-or- evoke,Business,Kesempatan-or- Peristiwa-or- Kejadian
Kettle,"A <container or device in which water is boiled>-or- having alid-or- spout-or- nd handle; a teakettle.
A depression in the ground thought to have been formed by the melting of an ice block trapped in glacial deposits-or- especially one that is circular and deep.
(of the police) confine (a group of demonstrators or protesters) to a small area-or- as a method of crowd control during a demonstration.",Noun-or- Verb,The plan was to get as close to the protest as possible without getting <kettled>.,,Government,Ketel-or- Ceret-or- Cerek-or- Pemanas air
Easygoing,<Relaxed and tolerant> in approach or manner.,Adjective,An outwardly <easygoing> but fiercely competitive yougster.,relaxed-or- even-tempered-or- equable-or- carefree-or- mild-or- good-humored,People,Lembut-or- Lunak-or- Mudah Bergaul
Bargain,"An <agreement between two or more parties> as to what each party will do for the other.
A thing bought or offered for sale more cheaply than is usual or expected.
<Negotiate> the terms and conditions of a transaction.",Noun-or- Verb,The extraconstituional <bargain> between the northern elit and the southern plantes.,agreement-or- arrangement-or- understanding-or- deal-or- good buy-or- barter,Business,Tawar Menawar-or- Persetujuan-or- Berdagang
